Iteration;Commander's rating;base hit points;Scout no.01 trust level;Unit count; NeutralUnit count; EnemyUnit count; DisguisedEnemyUnit count
0;0;200;50;101;53;47;34
1;32;200;19;59;34;24;12
2;48;198;3;53;35;19;7
3;74;198;-8;49;36;15;3
4;74;198;-8;47;36;16;4
5;56;190;-2;45;37;15;3
6;58;190;-4;45;37;15;2
7;58;190;-4;44;37;16;3
8;38;184;10;43;38;16;3
9;26;176;20;40;39;15;2
10;-6;169;28;38;38;16;3
11;2;169;32;38;38;16;2
12;-4;164;42;37;39;15;2
13;-4;164;42;38;39;16;3
14;-2;164;40;38;40;15;2
15;-2;164;40;38;41;15;2
16;-2;164;40;38;41;16;3
17;-6;160;44;38;42;16;3
18;-4;160;40;37;42;15;2
19;-6;160;48;37;41;16;3
